"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"J1";"Pin_Header_Straight_1x06_Pitch2.54mm";1;"Conn_01x06";;;
2;"J2";"Pin_Header_Straight_1x03_Pitch2.54mm";1;"STEP-UP";;;
3;"U4,U9,U8,U5";"QRE1113GR";4;"QRE1113";;;
4;"REF***";"OSHW";1;"OSHW-Logo2_7.3x6mm_SilkScreen";;;
5;"G***";"ih11x8";1;"LOGO";;;
6;"P8,P1,P2";"Pin_Header_Straight_1x02_Pitch2.54mm";3;"CONN_01X02";;;
7;"C14,C12";"SMD-1206_Pol";2;"10uF";;;
8;"R7,R13";"R_0603_HandSoldering";2;"47";;;
9;"REF**,REF**,REF**,REF**";"MountingHole_2.2mm_M2_DIN965_Pad";4;"MountingHole_2.2mm_M2_DIN965_Pad";;;
10;"C1,C6";"R_0603_HandSoldering";2;"1uF";;;
11;"C2,C3";"R_0603_HandSoldering";2;"100nF";;;
12;"C4,C9";"R_0603_HandSoldering";2;"4.7uF";;;
13;"C5";"R_0603_HandSoldering";1;"10nF";;;
14;"C7,C8";"R_0603_HandSoldering";2;"20p";;;
15;"C11,C13";"R_0603_HandSoldering";2;"0.1uF";;;
16;"D5,D10,D4,D3";"LED_D3.0mm_Horizontal_O1.27mm_Z2.0mm";4;"LED";;;
17;"R10,R9";"R_0603_HandSoldering";2;"100k";;;
18;"Y2";"Crystal_HC50-U_Vertical";1;"8MHz";;;
19;"R20,R19,R16,R15";"R_0603_HandSoldering";4;"5K";;;
20;"R18,R17,R14,R12,R1,R2";"R_0603_HandSoldering";6;"100";;;
21;"R11,R5,R4,R3";"R_0603_HandSoldering";4;"47K";;;
22;"Q4,Q3,Q2,Q1";"LED_D3.0mm_Horizontal_O1.27mm_Z2.0mm";4;"Q_Photo_NPN";;;
23;"D2";"LED_0603";1;"LED_0";;;
24;"D1";"LED_0603";1;"LED_Power";;;
25;"U3";"LQFP-48_7x7mm_Pitch0.5mm";1;"STM32F103C8T6";;;
26;"R6,R8";"R_0603_HandSoldering";2;"10k";;;
27;"U2";"driver_tuneado";1;"TB6612FNG";;;
28;"U1";"SOT-223-3_TabPin2";1;"MCP1824ST";;;
29;"C10";"R_0603_HandSoldering";1;"C";;;
30;"SW1";"SW_SPST_B3U-1000P";1;"SW_PUSH_SMALL_H";;;
31;"SW4";"SW_SPST_B3U-1000P";1;"START_BUTTON";;;
